分类: 📡卫视频道, 名称: 吉林卫视, 有效: 10, IPv4: 47, IPv6: 0, 最小延迟: 37 ms, 最高速率: 15.81 M/s, 平均速率: 8.81 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 10, IPv4: 54, IPv6: 0, 最小延迟: 43 ms, 最高速率: 104.63 M/s, 平均速率: 26.32 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 46, IPv6: 0, 最小延迟: 384 ms, 最高速率: 18.41 M/s, 平均速率: 6.98 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 11, IPv4: 44, IPv6: 0, 最小延迟: 45 ms, 最高速率: 14.59 M/s, 平均速率: 5.29 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 7, IPv4: 30, IPv6: 0, 最小延迟: 893 ms, 最高速率: 12.07 M/s, 平均速率: 4.99 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 8, IPv4: 36, IPv6: 0, 最小延迟: 49 ms, 最高速率: 34.50 M/s, 平均速率: 10.86 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 10, IPv4: 40, IPv6: 0, 最小延迟: 36 ms, 最高速率: 15.75 M/s, 平均速率: 8.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 10, IPv4: 35, IPv6: 0, 最小延迟: 110 ms, 最高速率: 120.16 M/s, 平均速率: 37.60 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 10, IPv4: 36, IPv6: 0, 最小延迟: 33 ms, 最高速率: 117.93 M/s, 平均速率: 32.64 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 10, IPv4: 43, IPv6: 0, 最小延迟: 35 ms, 最高速率: 16.15 M/s, 平均速率: 8.03 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 10, IPv4: 60, IPv6: 0, 最小延迟: 38 ms, 最高速率: 40.30 M/s, 平均速率: 15.78 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 7, IPv4: 32, IPv6: 0, 最小延迟: 36 ms, 最高速率: 93.21 M/s, 平均速率: 23.06 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 11, IPv4: 37, IPv6: 0, 最小延迟: 35 ms, 最高速率: 16.59 M/s, 平均速率: 8.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 6, IPv4: 18, IPv6: 0, 最小延迟: 38 ms, 最高速率: 51.78 M/s, 平均速率: 8.27 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 9, IPv4: 34, IPv6: 0, 最小延迟: 122 ms, 最高速率: 102.57 M/s, 平均速率: 41.96 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 9, IPv4: 42, IPv6: 0, 最小延迟: 112 ms, 最高速率: 112.02 M/s, 平均速率: 22.35 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 7, IPv4: 39, IPv6: 0, 最小延迟: 575 ms, 最高速率: 7.74 M/s, 平均速率: 5.50 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 35 ms, 最高速率: 15.08 M/s, 平均速率: 14.85 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东体育, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 2987 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广东新闻, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 501 ms, 最高速率: 5.34 M/s, 平均速率: 5.34 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广东民生, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 432 ms, 最高速率: 3.42 M/s, 平均速率: 3.42 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广州综合, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 1591 ms, 最高速率: 0.34 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 2, IPv4: 11, IPv6: 0, 最小延迟: 37 ms, 最高速率: 16.12 M/s, 平均速率: 10.50 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广州竞赛, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️浙江频道, 名称: 浙江生活, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1031 ms, 最高速率: 0.16 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️浙江频道, 名称: 浙江钱江, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1007 ms, 最高速率: 0.26 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️浙江频道, 名称: 浙江教育, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1117 ms, 最高速率: 0.22 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1280x720
分类: ☘️浙江频道, 名称: 浙江钱江都市, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 1151 ms, 最高速率: 0.21 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️浙江频道, 名称: 浙江经济生活, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1057 ms, 最高速率: 0.21 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: ☘️浙江频道, 名称: 浙江民生, 有效: 1, IPv4: 5, IPv6: 0, 最小延迟: 1025 ms, 最高速率: 0.36 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1920x1080
分类: ☘️浙江频道, 名称: 浙江少儿, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: 1029 ms, 最高速率: 0.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
